PE,Company,Primary Industry Sector,Year Founded,Revenue,Gross Profit,Net Income,EBITDA,EBIT,Total Debt,Fiscal Year,Valuation/Ebitda,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation / Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,EBITDA Margin %,Employees,Total Invested Equity,CEO Pbid,CEO,Deal Date,Deal Size,Deal Year
0,YuMe (Media and Information Services (B2B)),Business Products and Services (B2B),2004,132.41,61.36,-3.45,7.42,3.91,0.76,2013,38.60,73.20,-82.89,2.16,-27.37,6.22,11.80,-13.36,0.35,441.00,5.60%,,46.13,.38063-44p,layant Kadambi,Aug-13,46.13,2013
1,Thermon,Business Products and Services (B2B),1954,238.81,102.73,-15.21,14.19,-4.06,216.28,2011,24.47,-85.60,-22.83,1.45,,8.46,-29.59,-7.89,0.50,,5.94%,,48.00,33396-94P,Rodney Bingham,May-11,120.00,2011
0,Landmark Infrastructure Partners,Business Products and Services (B2B),2010,21.69,21.67,,18.95,12.88,91.85,2014,4.72,6.94,,4.12,-41.33,2.66,3.91,,2.32,-23.29,87.34%,,50.35,97319-17P,Arthur Brazy,Nov-14,50.35,2014
1,Ichor Systems,Business Products and Services (B2B),1973,338.70,54.46,-29.25,25.02,15.49,39.26,2016,8.54,13.79,-7.30,0.63,20.32,2.11,3.42,-1.81,0.16,5.03,7.39%,,52.90,36071-20P,Thomas Rohrs,Dec-16,52.90,2016
0,Farmland Partners,Business Products and Services (B2B),2013,2.45,2.35,-0.20,1.44,1.29,42.06,2014,38.98,43.63,-288.04,22.97,-1373.61,36.90,41.30,-272.67,21.74,-1300.29,58.93%,,53.20,,,Apr-14,53.20,2014
0,MediaMind Technologies,Business Products and Services (B2B),1999,74.89,71.29,9.34,15.72,14.25,0.00,2010,13.09,14.45,22.05,2.75,-11.44,3.66,4.04,6.16,0.77,-3.20,21.00%,348,57.50,18210-34P,Gal Trifon,Aug-10,57.50,2010
0,Ameresco,Business Products and Services (B2B),2000,512.66,95.21,26.75,47.91,39.80,175.71,2010,8.43,10.15,15.10,0.79,38.22,1.82,2.19,3.25,0.17,8.23,9.35%,,60.00,6.30.22-61P,George Sakellans,Jul-10,86.97,2010
1,Caesarstone Sdot-Yam,Business Products and Services (B2B),1987,259.67,104.29,20.68,49.08,34.46,23.70,2011,7.48,10.65,17.75,1.41,-11.85,1.49,2.13,3.54,0.28,-2.37,18.90%,,68.50,50375-53P,Yos Shiran,Mar-12,73.26,2012
1,Douglas Dynamics,Business Products and Services (B2B),1977,173.82,56.05,8.59,40.77,28.08,238.45,2010,5.87,8.52,27.85,1.38,10.42,2.76,4.01,13.10,0.65,4.90,23.45%,,73.13,1 1560-96P,James Janik,May-10,112.50,2010
0,Telaria,Business Products and Services (B2B),2005,112.68,49.29,-12.68,-6.17,-12.19,6.02,2013,-80.08,-40.55,-38.99,4.39,-66.14,-12.15,-6.15,-5.92,0.67,-10.04,-5.48%,,75.00,3.8717-02P,William Day,Jun-13,75.00,2013
0,Leaf Group,Business Products and Services (B2B),2006,252.94,121.60,-38.58,51.25,-0.76,0.00,2010,27.19,-1821.44,-36.12,,-91.62,2.95,-197.78,-3.92,0.60,-9.95,20.26%,600,76.50,11927-98P,Richard Rosenblatt,Jan-11,151.30,2011
0,Shutterstock,Business Products and Services (B2B),2003,155.19,96.33,18.23,27.38,25.01,,2012,20.39,22.32,30.62,3.60,27.50,2.79,3.06,4.20,0.49,3.77,17.64%,,76.50,41303-35P,lonathan Oringer,Oct-12,76.50,2012
0,World Point Terminals,Business Products and Services (B2B),2013,76.13,50.25,23.48,47.59,39.42,8.10,2013,6.93,10.49,14.04,4.33,-25.32,3.68,5.57,7.45,2.30,-13.44,62.52%,,77.44,19343.7-19P,Paul Novelly,Aug-13,175.00,2013
0,Borderfree,Business Products and Services (B2B),1999,110.46,35.39,-0.65,0.56,1.73,0.05,2013,872.32,-282.52,-745.61,441.00,30.24,143.11,-46.35,-1.22,0.72,4.96,0.51%,158,80.00,,,Mar-14,80.00,2014
0,Duluth Holdings,Business Products and Services (B2B),1989,273.91,156.03,23.80,27.12,24.59,35.47,2016,13.85,15.27,15.78,1.37,-2625.95,2.95,3.25,3.36,0.29,-559.44,9.90%,,80.00,149164-21P,Stephanie Pugliese,Nov-15,80.00,2015
1,Tower International,Business Products and Services (B2B),1993,1956.45,195.32,-49.45,154.75,36.57,642.95,2010,1.57,6.65,-4.92,0.12,64.12,0.53,2.22,-1.64,0.04,21.41,7.91%,9000,81.25,1181 1-25P,Mark Malcolm,Oct-10,81.25,2010
0,The ExOne Company,Business Products and Services (B2B),1995,28.66,12.14,-10.17,-6.17,-7.85,19.76,2012,-37.35,-29.34,-22.66,8.04,-439.64,-15.47,-12.15,-9.38,3.33,-182.06,-21.52%,,83.91,71785-27P,Steven Rockwell,Feb-13,95.40,2013
0,The Trade Desk,Business Products and Services (B2B),2009,148.99,119.47,-37.36,37.22,34.43,55.85,2016,18.49,19.99,-18.42,4.62,22.44,2.26,2.44,-2.25,0.56,2.74,24.98%,,84.00,.39796-03P,Jeff Green,Sep-16,84.00,2016
0,Materialise,Business Products and Services (B2B),1990,96.32,58.08,4.57,9.83,,23.17,2014,28.74,53.23,61.80,2.93,39.62,9.77,18.09,21.01,1.00,13.47,10.20%,,89.28,69915-79P,Hilde Ingelaere,Jun-14,96.00,2014
0,Peak Resorts,Business Products and Services (B2B),1997,105.82,56.84,-0.78,25.88,16.68,177.37,2015,4.86,7.55,-160.72,1.19,205.62,3.48,5.40,-114.94,0.85,147.06,0.24%,,90.00,,,Nov-14,90.00,2014
1,Townsquare Media,Business Products and Services (B2B),2010,328.05,101.28,16.62,76.44,59.97,653.32,2014,2.40,3.06,11.05,0.56,6.98,1.20,1.53,5.52,0.28,3.48,23.30%,,91.67,15372-46P,Steven Price,Jul-14,91.67,2014
1,Installed Building Products,Business Products and Services (B2B),1977,431.93,109.69,-0.18,24.54,13.11,50.06,2013,15.20,28.45,-2038.09,0.86,2233.36,3.84,7.19,-514.99,0.22,564.33,5.68%,,94.24,15829-66P,Jeffrey Edwards,Feb-14,94.24,2014
1,Norcraft Companies,Business Products and Services (B2B),1966,330.43,84.50,-3.70,34.22,22.17,240.00,2013,8.78,13.55,-81.10,0.91,31.60,2.99,4.62,-27.63,0.31,10.76,10.36%,,102.35,11757-88P,Mark Buller,Nov-13,102.35,2013
0,Rocket Fuel,Business Products and Services (B2B),2008,159.58,71.95,-19.78,-14.18,-19.20,21.85,2013,-66.45,-49.08,-47.63,,-118.95,-8.18,-6.04,-5.86,0.73,-14.64,-8.89%,,107.88,.35441-20P,George John,Sep-13,116.00,2013
0,BazaarVoice,Business Products and Services (B2B),2005,93.99,60.58,-22.67,-19.16,-22.04,0.00,2012,-35.60,-30.96,-30.10,7.26,13.43,-5.94,-516.00,-5.02,1.21,-224.04,-20.39%,780,108.00,3.6501-76P,Brett Hurt,Feb-12,113.81,2012
0,Millennial Media,Business Products and Services (B2B),2006,103.68,40.08,-5.31,,-0.75,0.00,2011,139081.50,-1294.64,-183.38,9.39,-88.11,18942.86,-176.33,-24.98,1.28,-12.00,0.01%,222,111.23,.36095-68P,Paul Palmerl,Mar-12,132.60,2012
1,TMS International,Business Products and Services (B2B),1926,2223.92,186.00,-7.25,128.67,68.28,425.87,2011,3.80,7.15,-67.41,0.22,10.96,1.13,2.13,-20.09,0.07,3.27,5.79%,,111.83,15224-68P,Joseph Curtin,Apr-11,145.60,2011
1,Arc Logistics Partners,Business Products and Services (B2B),2007,41.13,24.90,,27.59,19.02,112.56,2013,8.38,12.15,,5.62,-1013.51,4.13,5.99,,2.77,-500.00,67.08%,,114.00,41103-01 P,Vincent Cubbage,Nov-13,114.00,2013
0,Yext,Business Products and Services (B2B),2006,124.26,87.31,-43.15,-38.88,-42.97,5.00,2017,-24.18,-21.89,-21.79,7.57,-82.73,-2.97,-2.69,-2.68,0.93,-10.16,-31.29%,630,115.50,.38349-91P,Howard Lerman,Apr-17,115.50,2017
0,CrossAmerica Partners,Business Products and Services (B2B),2012,1854.90,70.22,,30.41,14.94,249.90,2012,,,,,,3.95,8.03,,0.06,-80.21,1.64%,,120.00,7.2625-15P,Joseph Topper,Oct-12,120.00,2012
1,Ryerson,Business Products and Services (B2B),1842,3468.20,604.40,125.40,170.40,124.10,1254.80,2014,2.07,2.84,2.81,0.10,41.95,0.71,0.98,0.96,0.03,14.40,4.91%,,121.00,59430-16P,Edward Lehner,Aug-14,121.00,2014
0,HubSpot,Business Products and Services (B2B),2005,104.10,72.63,-37.01,-30.55,-36.69,18.20,2014,-24.84,-20.69,-20.51,7.29,-98.17,-4.09,-3.41,-3.38,1.20,-16.17,-29.35%,719,125.00,.36699-58P,Brian Halligan,Oct-14,125.00,2014
1,CPI Card Group,Business Products and Services (B2B),2007,368.41,133.66,-7.07,83.92,68.49,426.49,2015,6.73,8.24,-79.86,1.53,61.07,1.79,2.19,-21.21,0.41,16.22,22.78%,1255,150.00,32735-98P,Steve Montross,Oct-15,150.00,2015
0,QuinStreet,Business Products and Services (B2B),1999,293.13,88.18,20.54,56.83,40.60,105.70,2010,11.86,16.59,32.79,2.30,62.23,2.64,3.69,7.30,0.51,13.86,19.39%,,150.00,.39151-18P,Douglas Valenti,Feb-10,150.00,2010
0,USD Partners,Business Products and Services (B2B),2014,31.70,8.38,,1.35,-2.81,97.85,2014,-128.71,-61.75,,5.48,10.99,-114.93,-55.14,,4.89,,-4.26%,,155.04,79846-66P,Dan Borgen,Oct-14,155.04,2014
1,Neff Rental,Business Products and Services (B2B),1988,358.29,180.66,-26.53,128.32,46.03,889.20,2014,2.72,7.59,-13.17,0.97,192.65,1.22,3.41,-5.92,0.44,86.68,35.81%,,157.14,1 1845-45P,Graham Hood,Nov-14,157.14,2014
0,RPX,Business Products and Services (B2B),2008,111.05,61.52,20.30,80.29,30.93,14.56,2011,10.88,28.25,43.03,7.87,56.47,2.00,5.18,7.89,1.44,10.35,72.30%,,160.18,3.5566-84P,John Amster,May-11,160.18,2011
0,ExamWorks Group,Business Products and Services (B2B),2008,125.08,45.94,-2.99,15.80,1.09,93.97,2010,30.82,446.41,-162.78,3.89,66.20,10.43,151.05,-55.08,1.32,22.40,12.63%,950,164.80,3.4880-32P,lames Price,Oct-10,164.80,2010
0,Dorian LPG,Business Products and Services (B2B),2013,29.63,7.95,2.83,9.72,3.10,128.72,2014,23.40,73.38,80.27,7.68,0.81,17.27,54.16,59.24,5.66,0.60,32.80%,,167.87,6.2967-43P,John Hadjipateras,May-14,167.87,2014
0,Quotient Technology,Business Products and Services (B2B),1998,167.89,115.81,-11.25,-3.44,-10.30,23.08,2013,-340.62,-113.71,-104.07,6.97,-60.28,-48.88,-16.32,-14.93,1.00,-8.65,-2.05%,,168.00,.38048-23P,Steven Boal,Mar-14,168.00,2014
1,TRI Pointe Homes,Business Products and Services (B2B),2009,1070.31,263.58,61.48,111.43,99.63,57.37,2012,4.82,5.39,8.74,0.50,263.06,2.09,2.34,3.79,0.22,113.96,10.41%,,170.00,35514-01 P,Douglas Bauer,Jan-13,232.71,2013
1,STAG Industrial,Business Products and Services (B2B),2010,24.98,18.99,-1.98,18.77,9.55,207.16,2011,14.98,29.43,-141.96,11.25,-251.19,9.52,18.72,-90.28,7.16,-159.74,75.14%,,178.75,45560-35P,Benjamin Butcher,Apr-11,178.75,2011
0,Suncoke Energy,Business Products and Services (B2B),,1360.06,241.64,90.28,143.95,89.87,54.09,2011,6.49,10.40,10.35,0.69,427.90,1.29,2.07,2.06,0.14,84.98,10.58%,,185.60,88344_19P,Fritz Henderson,Jul-11,185.60,2011
0,Armada Hoffler Properties,Business Products and Services (B2B),1979,111.81,40.30,8.95,36.74,25.28,333.63,2013,,,,,,5.95,8.64,2443.00,1.95,702.57,32.86%,,218.50,106194-25P,Louis Haddad,May-13,218.50,2013
1,Cotiviti (Georgia),Business Products and Services (B2B),1979,564.42,347.29,17.75,174.99,98.92,1033.39,2016,9.74,17.24,96.03,3.02,25.56,1.36,2.40,13.38,0.42,3.56,31.00%,2806,237.50,36058-51 P,Douglas Williams,Jun-16,237.50,2016
1,Booz Allen Hamilton,Business Products and Services (B2B),1914,5323.06,2597.66,49.17,330.45,243.75,1474.93,2011,6.21,8.41,41.70,0.39,-30.37,0.72,0.98,4.84,0.04,-3.53,6.21%,,238.00,15939-01 P,Ralph Shrader,Nov-10,238.00,2010
1,Performance Food Group,Business Products and Services (B2B),1885,15501.30,1880.00,62.10,310.90,191.60,1497.20,2016,6.09,9.88,30.49,0.12,485.50,0.89,1.44,4.44,0.02,70.64,2.01%,,242.77,12052-45P,George Holm,Oct-15,275.50,2015
0,Criteo,Business Products and Services (B2B),2005,517.60,182.35,-8.51,17.90,4.52,,2013,95.78,379.02,-201.55,3.31,1056.79,14.00,55.40,-29.46,0.48,154.46,3.46%,,250.56,.39117-25P,lean-Baptiste Rudelle,Oct-13,250.56,2013
0,Andeavor Logistics,Business Products and Services (B2B),2011,29.43,17.53,-18.37,-22.60,-34.00,0.00,2011,-14.17,-9.42,-17.44,10.88,,-12.08,-8.03,-14.86,9.28,,-76.79%,95,273.00,91386-37P,Gregory Goff,Apr-11,273.00,2011
1,Red Rock Resorts,Business Products and Services (B2B),2010,1926.00,229.90,30.20,97.00,72.40,256.04,2016,14.45,19.36,46.40,0.73,237.51,2.84,3.80,9.11,0.14,46.61,5.04%,,275.00,52319-53P,Timothy Sullivan,Jan-17,275.00,2017
0,Newmark (CRE),Business Products and Services (B2B),1929,1523.46,,243.12,328.38,243.16,659.73,2017,6.46,8.72,8.72,1.39,32.73,0.85,1.15,1.15,0.18,4.32,21.55%,,280.00,66725-20P,Barry Gosin,Dec-17,280.00,2017
0,Eneti,Business Products and Services (B2B),2013,0.00,,-6.31,-6.65,-6.65,0.00,2013,-194.61,-194.61,-205.13,,1.76,-45.90,-45.90,-48.39,,0.42,,,284.02,7.2850-42P,Emanuele Lauro,Dec-13,305.18,2013
0,Fortress Transportation and Infrastructure Investors,Business Products and Services (B2B),2002,84.21,59.48,11.80,43.13,13.71,588.60,2015,28.97,91.17,105.88,14.84,-89.34,7.88,24.81,28.81,4.04,-24.31,51.22%,,318.75,,,May-15,340.00,2015
0,Schneider National,Business Products and Services (B2B),1935,4124.07,479.77,151.37,548.70,278.70,603.46,2017,,11.83,21.78,0.80,-44.50,1.00,1.97,3.63,0.13,-7.42,13.30%,19300,320.00,87094-36P,Christopher Lofgren,Apr-17,549.99,2017
1,Forterra,Business Products and Services (B2B),1899,1363.96,280.45,-7.61,162.14,62.27,1099.76,2016,7.08,18.44,-150.96,0.84,-302.64,2.04,5.32,-43.59,0.24,-87.39,11.89%,5500,331.56,142628-23P,Jeff Bradley,Oct-16,331.56,2016
1,Ply Gem Industries,Business Products and Services (B2B),1943,1139.22,243.13,-41.52,113.62,64.95,1016.26,2013,11.97,20.94,-32.75,1.19,-148.09,2.92,5.11,-7.99,0.29,-36.11,9.97%,,331.58,11397-16P,Gary Robinette,May-13,331.58,2013
1,Advanced Disposal,Business Products and Services (B2B),2000,1402.20,,-19.10,362.90,109.20,2237.90,2016,4.15,13.80,-78.92,1.08,-628.08,0.95,3.17,-18.14,0.25,-144.37,25.88%,5400,346.50,23306-86P,Richard Burke,Oct-16,346.50,2016
1,MRC Global,Business Products and Services (B2B),1921,5223.24,797.75,67.65,320.99,253.29,1611.96,2012,6.64,8.41,31.51,0.41,127.19,1.49,1.88,7.06,0.09,28.48,6.15%,,357.95,31522-51 P,Andrew Lane,Apr-12,477.27,2012
1,Summit Materials (Building Products),Business Products and Services (B2B),2009,1204.23,317.07,0.00,168.87,73.41,1066.49,2014,2.48,5.70,,0.35,-86.83,2.37,5.45,,0.33,-82.99,14.02%,,400.00,31505-14p,Thomas Hill,Mar-15,400.00,2015
1,Jeld-Wen,Business Products and Services (B2B),1960,3666.94,776.05,-19.47,315.90,207.91,1620.04,2016,7.64,11.60,-123.92,0.66,-338.42,1.82,2.77,-29.54,0.16,-80.67,8.61%,,512.27,123810-67P,Mark Beck,Jan-17,575.00,2017
0,Outfront Media,Business Products and Services (B2B),1938,1294.00,607.10,143.50,433.40,237.60,0.00,2013,7.75,14.14,23.41,2.60,323.08,1.29,2.36,3.90,0.43,53.85,33.49%,,534.80,72.915-94P,Jeremy Male,Mar-14,560.00,2014
1,Terminix Global Holdings,Business Products and Services (B2B),1929,2312.00,1075.00,-596.00,381.00,282.00,3904.00,2014,5.70,7.70,-3.64,0.94,25.55,1.60,2.16,-1.02,0.26,7.18,16.48%,,610.30,63739-54P,Robert Gillette,Jun-14,610.30,2014
1,Taylor Morrison,Business Products and Services (B2B),1936,1183.27,244.39,-10.30,98.53,94.29,1063.36,2013,27.31,28.54,-261.32,2.27,36.88,6.38,6.67,-61.05,0.53,8.62,8.33%,,628.58,36859-69P,Peter Redfern,Apr-13,628.58,2013
0,Valvoline,Business Products and Services (B2B),1865,1918.90,724.40,240.90,396.20,357.10,740.00,2016,11.11,12.32,18.26,2.29,,1.67,1.85,2.74,0.34,,20.65%,5500,660.00,66030-04P,Samuel Mitchell,Sep-16,660.00,2016
0,Groupon,Business Products and Services (B2B),2008,1290.49,1102.69,-686.72,-545.20,-573.99,0.00,2011,-23.40,-22.22,-18.58,9.88,71.03,1.28,-1.22,-1.02,0.54,3.90,-42.25%,,700.00,.3553.3-52P,Andrew Mason,Nov-11,700.00,2011
0,CommerceHub,Business Products and Services (B2B),1997,94.16,69.88,0.45,10.13,1.19,0.00,2016,,,,,,73.16,620.99,16.39,7.87,-116.87,10.75%,331,740.84,88036-84P,Frank Poore,Jul-16,740.84,2016
0,Swift Transportation,Business Products and Services (B2B),1966,2929.72,631.42,-125.41,378.06,151.30,1774.10,2010,3.88,9.70,-11.70,0.50,-2.45,2.13,5.33,-6.43,0.28,-11.79,12.90%,,806.30,6.28.22-91P,Jerry Moyes,Dec-10,806.30,2010
0,Herc Holdings,Business Products and Services (B2B),1965,1642.50,379.90,108.10,589.90,178.60,134.70,2016,,,,,,3.39,11.20,18.50,1.22,-444.44,35.91%,,2000.00,84904-12P,Rob Cowing,Jun-16,2000.00,2016
1,Wesco Aircraft Hardware,Business Products and Services (B2B),1953,703.57,270.90,77.60,185.12,164.42,587.29,2011,6.93,7.81,16.54,1.82,1182.99,1.70,1.92,4.06,0.45,290.32,26.31%,1021,,12451-06P,Randy Snyder,Jul-11,315.00,2011
0,Conduent,Business Products and Services (B2B),2016,6624.00,107400.00,-37.00,518.00,-33.00,48.00,2016,,,,,,,,,,,7.82%,93000,,53808-31P,Ashok Vemurl,Dec-16,,2016
0,Brookfield Business Partners,Business Products and Services (B2B),2015,7.28,606.00,,365.00,89.00,2243.00,2016,,,,,,,,,,,5.01%,,,3.3626-26P,Cyrus Madon,May-16,,2016
0,Civeo,Business Products and Services (B2B),1977,999.37,456.69,154.47,389.65,223.93,322.52,2014,,,,,,,,,,,38.99%,,,3.123.3-91P,Bradley Dodson,May-14,,2014
0,CoreLogic,Business Products and Services (B2B),2010,1367.59,977.03,190.03,161.51,73.16,775.66,2010,,,,,,,,,,,11.81%,,,6.28.22-36P,Anand Nallathambl,Jun-10,,2010
0,CSRA,Business Products and Services (B2B),2015,3928.41,769.26,224.10,552.42,409.42,151.41,2016,,,,,,,,,,,1406%,,,155500-1.2P,Lawrence Prior,Dec-15,,2015
0,CSW Industrials,Business Products and Services (B2B),2014,297.60,140.74,33.33,64.86,53.05,94.17,2016,,,,,,,,,,,21.80%,,,49623-67P,Joseph Armes,Oct-15,,2015
0,Donnelley Financial Solutions,Business Products and Services (B2B),1983,1008.30,396.30,89.70,188.20,147.90,29.60,2016,,,,,,,,,,,18.67%,,,81704-80P,Daniel Leib,Sep-16,,2016
0,Era Group,Business Products and Services (B2B),1948,272.92,63.22,-0.68,72.81,30.31,279.74,2012,,,,,,,,,,,26.68%,,,78181-30P,Sten Gustafson,Jan-13,,2013
0,Exelis,Business Products and Services (B2B),2011,5994.00,1302.00,391.00,761.00,624.00,649.00,2011,,,,,,,,,,,12.70%,,,4.22.22-63P,David Melcher,Oct-11,,2011
0,FingerMotion,Business Products and Services (B2B),2014,0.01,,-0.08,-0.08,-0.08,0.02,2015,,,,,,,,,,,-531.37%,,,.243865-09P,Thomas McMillen,Sep-14,,2014
0,GAIN Capital,Business Products and Services (B2B),2013,166.01,62.33,12.57,35.40,21.12,0.00,2013,,,,,,,,,,,21.32%,,,1.2531-52P,William Clifford,Oct-13,,2013
0,Huntington Ingalls Industries,Business Products and Services (B2B),2011,6723.00,892.00,131.00,422.00,239.00,0.00,2010,,,,,,,,,,,6.28%,,,,,Mar-11,,2011
0,Hyster-Yale Materials Handling,Business Products and Services (B2B),2012,2537.70,385.70,81.80,,112.90,0.00,2012,,,,,,,,,,,,,,8.3881-18P,Alfred Rankin,Sep-12,,2012
0,International Seaways,Business Products and Services (B2B),1999,43748.00,159.90,77.14,200.05,118.37,4.39,2016,,,,,,,,,,,45.73%,,,,,Dec-16,,2016
0,Keysight Technologies,Business Products and Services (B2B),2014,2876.00,1596.00,406.00,548.00,469.00,,2014,,,,,,,,,,,19.05%,,,46499-14p,Ronald Nersesian,Oct-14,,2014
0,Kimball Electronics,Business Products and Services (B2B),1998,769.70,66.47,22.31,46.20,28.01,0.00,2015,,,,,,,,,,,6.00%,,,,,Oct-14,,2014
0,KLX Aerospace Solutions,Business Products and Services (B2B),2014,1579.40,484.80,154.40,324.10,268.80,,2014,,,,,,,,,,,20.52%,,,13549159P,Amin Khoury,Dec-14,,2014
0,Madison Square Garden Sports,Business Products and Services (B2B),1879,1071.55,346.67,-40.68,67.95,-40.81,0.00,2015,,,,,,,,,,,6.34%,,,1.39635-64P,David O'Connor,Sep-15,,2015
0,Matson,Business Products and Services (B2B),1881,1462.60,182.50,34.20,150.20,78.60,197.60,2011,,,,,,,,,,,10.27%,,,,,Jan-12,,2012
0,Starwood Waypoint Residential Trust,Business Products and Services (B2B),,30.87,2.83,-23.42,-17.12,-23.23,0.00,2013,,,,,,,,,,,-55.45%,,,134078-3.2?,Frederick Tuomi,Jan-14,,2014
0,TopBuild,Business Products and Services (B2B),2015,1536.96,339.90,14.18,47.46,47.46,0.00,2015,,,,,,,,,,,3.09%,,,14284.2-79?,Jerry Volas,Jun-15,,2015
0,TripAdvisor,Business Products and Services (B2B),2000,637.06,626.19,177.68,297.39,271.50,426.73,2011,,,,,,,,,,,46.68%,,,40547-89P,Stephen Kaufer,Dec-11,,2011
0,Tyco International,Business Products and Services (B2B),1960,10332.00,3785.00,1838.00,1057.00,699.00,1463.00,2014,,,,,,,,,,,10.23%,,,87224-23P,Andrew Chrostowski,Nov-14,,2014
0,Urban Edge Properties,Business Products and Services (B2B),2015,315.68,213.85,65.77,175.68,120.78,1278.18,2014,,,,,,,,,,,55.65%,,,65567-80P,Jeffrey Olson,Jan-15,,2015
0,V2X,Business Products and Services (B2B),2014,1292.49,156.52,52.76,84.66,8146.00,0.00,2014,,,55.74,4.45,1414.14,14.38,18.50,19.51,1.56,,6.55%,,,4.2294-25P,Kenneth Hunzeker,Sep-14,,2014
