PE,Company,Primary Industry Sector,Year Founded,Revenue,Gross Profit,Net Income,EBITDA,EBIT,Total Debt,Fiscal Year,Valuation/Ebitda,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation / Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,EBITDA Margin %,Employees,Total Invested Equity,CEO Pbid,CEO,Deal Date,Deal Size,Deal Year
0,Karyopharm Therapeutics,Healthcare,2008,0.4,,-26.04,-25.9,-26.04,0,2013,-17.75,-17.65,-17.65,1152.06,9,-4.2,-4.18,-4.18,272.68,2.13,-6492.23%,,101.18,3.6796-69P,Michael Kauffman,13-Nov,108.8,2013
0,Cloudera,Information Technology,2008,272.54,185.56,-158.38,-148.49,-158.63,0,2017,-12.94,-12.11,-12.13,7.05,35.86,-1.52,1.42,-1.42,0.83,4.2,-5448%,1470,225,50627-08P,Thomas Reilly,17-Apr,225,2017
0,Biocept,Healthcare,1997,0.13,-2.2,-9.23,-6.9,-7.16,7.18,2013,-6.56,-6.31,-4.9,336.87,-389.6,-2.76,-2.65,-2.06,141.53,-163.68,-5136.70%,,19,53809-75P,Michael Nall,14-Feb,19,2014
0,Arcimoto,Consumer Products and Services (B2C),2007,0.04,,-2.08,-2.05,-2.05,0.72,2017,-50.23,-50.1,-49.36,2535.23,368.55,-9.52,-9.5,-9.36,480.53,69.85,-5047.51%,,19.5,5137.2-37P,Mark Frohnmayer,17-Sep,19.5,2017
0,Supernus Pharmaceuticals,Healthcare,2005,,,52.16,-45.42,-46.31,29.1,2012,-2.63,-2.58,2.29,118.26,-24.03,-1.1,-1.08,0.96,49.46,-10.05,-4492.38%,,50,.36226-63P,lack Khattar,12-May,50,2012
0,Clearside Biomedical,Healthcare,2011,,,-19.33,-19.27,-19.33,6.04,2016,-7.12,-7.09,-7.09,271.58,12.07,-2.62,-2.61,-2.61,99.8,4.43,-3815.64%,,50.4,39791-80P,Daniel White,16-Jun,50.4,2016
0,Spark Therapeutics,Healthcare,2013,0.63,,-25.03,-24.16,-24.33,0,2014,-22.36,-22.21,-21.58,852.27,7.25,-6.66,-6.62,-6.43,253.97,2.16,-3811.22%,,149.73,68305-42P,Jeffrey Marrazzo,15-Jan,161,2015
0,SenesTech,Materials and Resources,2004,0.36,,-14.48,-13.74,-13.93,,2016,-5.9,-5.82,-5.6,223.22,63.2,-1.09,-1.08,-1.04,41.32,11.7,-3785.67%,25,15,11481130P,Loretta Mayer,16-Dec,15,2016
0,Syndax,Healthcare,2005,0.63,,-103.84,-22.68,-22.7,2.98,2015,-9.19,-9.18,-2.01,332.49,15.83,-2.33,-2.33,-0.51,84.21,4.01,-3617.86%,16,52.8,73398-97P,Briggs Morrison,16-Mar,52.8,2016
0,Invitae,Healthcare,2010,1.6,-4.02,-47.49,-45.12,-47.43,3.54,2014,-10.92,-10.39,-10.38,307.22,7.7,-2.25,-2.14,-2.14,63.34,1.59,-2812.72%,,94.49,3569.3-38P,Randy Scott,15-Feb,101.6,2015
0,Calyxt,Healthcare,2010,0.46,,-13.29,-12.7,-13.24,0,2017,-16.76,-16.07,-16.02,467.69,-21.8,-4.41,-4.23,-4.21,123.08,-5.74,-2790.33%,,56,165813-31P,Federico Tripodi,17-Jul,56,2017
0,Immune Design,Healthcare,2008,1.24,1,-23.75,-23.44,-23.75,0,2014,-8.07,-7.97,-7.97,152.36,14.36,-2.56,-2.53,-2.53,48.31,4.55,-1887.60%,,60,3.5661-70P,Carlos Paya,14-Jul,60,2014
0,Bluebird Bio,Healthcare,1992,1.38,,-15.8,-24.76,-25.15,0,2013,-15.66,-15.42,-24.54,280.59,3.55,-4.08,-4.02,-6.39,73.08,0.92,-1791.75%,50,93.93,.28505-71P,Nick Leschly,13-Jun,100.99,2013
0,Spring Bank Pharmaceuticals,Healthcare,2002,0.98,,-16.12,-16.07,-16.17,0,2016,-5.29,-5.26,-5.28,87.19,-4.77,-0.69,-0.68,-0.68,11.31,-0.62,-1646.72%,17,11.04,,,16-May,11.04,2016
0,BioAmber,Materials and Resources,2008,2.24,1.25,-38.76,-36.82,-38.96,2.93,2013,-5,-4.73,-4.75,82.13,-5.7,-2.17,-2.05,-2.06,35.68,-2.48,-1642.61%,54,74.4,37068-13P,Jean-Francois Huc,13-Jun,80,2013
0,Pacific Biosciences,Healthcare,2004,1.53,,-131.81,-22.51,-28.06,3.05,2010,-35.62,-28.57,-6.08,524.41,-19.61,-8.88,-7.13,-1.52,130.8,-4.89,-1472.27%,,200,3.6848-26P,Hugh Martin,10-Oct,200,2010
0,Twilio,Information Technology,2008,192.89,107.16,-36.7,-27.91,-33.02,,2016,-44.18,-37.34,-33.59,6.39,16.06,-5.37,-4.54,-4.09,0.78,1.95,-1447%,,150,3.8111-14p,leffery Lawson,16-Jun,150,2016
0,Sesen Bio,Healthcare,2010,1.33,,-21.88,-16.19,-16.62,4.52,2013,-9.51,-9.26,-7.03,115.4,2565.62,-3.09,-3.01,-2.28,37.48,833.33,-1213.42%,,46.5,36529-21P,Abbie Celniker,14-Feb,50,2014
0,Zynerba Pharmaceuticals,Healthcare,2004,0.63,,-7.04,-7.03,-7.04,0,2015,-17.4,-17.37,-17.37,194.14,22.1,-5.98,-5.97,-5.97,66.68,7.59,-1115.52%,,42,4.2415-66P,Armando Anido,15-Aug,42,2015
0,Horizon Therapeutics,Healthcare,2008,3.85,-2.23,-45.35,-35.98,-39.69,37.1,2011,-4.88,-4.43,-3.88,45.7,-21.64,-1.38,-1.25,-1.09,12.87,-6.09,-935.49%,,49.5,38950-30P,Timothy Walbert,11-Jul,49.5,2011
0,Intercept(Biotechnology),Healthcare,2002,2.8,,-19.85,-25.42,-25.69,0,2012,-9.28,-9.19,-11.89,84.3,17.42,-2.95,-2.92,-3.78,26.79,5.54,-908.10%,,75,4.27.22-74P,Mark Pruzanski,12-Oct,75,2012
0,Sorrento Tech,Healthcare,2009,3.46,-2.43,-29.6,-29.08,-31.66,9.8,2014,-7.28,-6.68,-7.15,61.1,1602.87,-2.06,-1.9,-2.03,17.33,-454.55,-839.62%,,60,3.1533-49P,Paul Thomas,14-Jul,60,2014
0,Applied Genetic Technologies,Healthcare,1999,1.27,,-10.85,-10.53,-10.85,0,2014,-15.27,-14.82,-14.82,126.97,95.57,4.75,-4.61,-4.61,3.45,29.73,-831.60%,,50,.39676-60P,Susan Washer,14-Mar,50,2014
0,Second Sight Medical Products,Healthcare,1998,2.44,1.26,-27.6,-19.7,-19.99,25.19,2014,-15.82,-15.59,-11.29,127.65,-342.98,-1.6,-1.58,-1.14,12.9,-34.67,-806.98%,126,30.24,4.2657-31P,Robert Greenberg,14-Nov,31.5,2014
0,Chiasma,Healthcare,2001,2.6,,-20.61,-19.69,-19.92,1.7,2015,-18.67,-18.45,-17.83,141.13,7.25,,-5.11,-4.94,39.1,2.01,-756.06%,,101.84,95700-43P,Mark Leuchtenberger,15-Jul,101.84,2015
0,Zogenix,Healthcare,2006,14.64,5.81,-77.57,-109.76,-109.76,23.58,2010,-1.22,1.22,1.73,9.17,-10.24,-0.51,-0.51,-0.72,3.83,-4.27,-749.84%,,56,38989-09P,Roger Hawley,10-Nov,56,2010
0,Neos Therapeutics,Healthcare,1994,2.32,-2.38,-26.2,-16.78,-19.88,39.46,2015,-12.95,-10.93,-8.3,93.56,10.66,-4.29,-3.62,-2.75,30.99,3.53,-722.51%,,72,3.7050-04P,Vipin Garg,15-Jul,72,2015
0,Rice Midstream Partners,Energy,2014,3.21,0.13,,-19.69,-22.64,0,2014,-48.2,-41.91,,295.87,792.04,-20.95,-18.22,,128.62,344.32,-613.84%,,412.5,1005.29-3.3P,Daniel Rice,14-Dec,412.5,2014
0,ENDRA Life Sciences,Healthcare,2007,0.52,0.28,-3.14,-3.07,-3.14,1.3,2017,-5.92,-5.8,-5.8,35.3,160.64,-2.73,-2.68,-2.68,16.29,74.13,-596.04%,,8.4,1096.31-89P,Francois Michelon,17-May,8.4,2017
0,Proteostasis Therapeutics,Healthcare,2006,4.31,,-23.31,-24.17,-2.44,,2015,-6.33,-6.26,-6.56,3.45,30.27,-2.07,-2.05,-2.15,11.6,9.9,-560.51%,,46.5,.3811.2-04P,Meenu Chhabra,16-Feb,50,2016
0,Athenex,Healthcare,2003,20.5,2.09,-118.08,-112,-114.42,6.86,2017,-5.43,-5.31,-5.15,29.64,-49.65,-0.59,-0.58,-0.56,3.22,-5.39,-546.26%,437,66,43831-99P,Johnson Lau,17-Jun,66,2017
0,Ceres,Healthcare,1996,6.65,4.45,-37.97,-35.65,-37.6,20.32,2012,-8.56,-8.12,-8.04,45.9,-28.01,-1.82,1.73,1.71,9.78,-5.96,-536.22%,88,65,37200-34P,Richard Hamilton,12-Feb,65,2012
0,Xencor,Healthcare,1997,10.85,,85.1,-57.27,-57.81,,2013,-2.83,-2.8,1.9,14.91,51.72,-1.22,1.21,0.82,6.45,22.38,-527.67%,,70.02,39347-65P,Bassil Dahiyat,13-Dec,70.02,2013
0,Castlight Health,Healthcare,2008,12.97,-4.33,-62.18,-61.55,-62.18,,2013,-22.5,-22.28,-22.28,106.77,-79.7,-2.89,-2.86,-2.86,13.69,-10.22,-474.44%,,177.6,35485-39P,Giovanni Colella,14-Mar,177.6,2014
0,Obalon Therapeutics,Healthcare,2008,3.6,,-17.81,-17.06,-17.24,9.89,2016,-14.03,-13.88,-13.44,66.4,368.16,4.4,4.35,-4.21,20.81,115.38,-473.25%,,75,4.2301-81P,Andrew Rasdal,16-Oct,75,2016
0,Editas Medicine,Healthcare,2013,1.63,,-73.29,-72.29,-72.76,0.29,2015,-7.9,-7.85,-7.79,350.64,4.31,-1.31,1.3,1.29,57.95,0.71,-443.75%,,94.4,3.6605-98P,Katrine Bosley,16-Feb,94.4,2016
0,Bellicum Pharmaceuticals,Healthcare,2004,2.59,,-13.99,-11.47,-12.13,0.58,2014,-42.81,-40.5,-35.11,189.97,8.77,-12.17,-11.52,-9.98,54.02,2.49,-443.75%,,139.65,39149-38P,Thomas Farrell,14-Dec,139.65,2014
0,Dimension Therapeutics,Healthcare,2013,6.8,,-30.69,-29.96,-30.56,1.48,2015,-10.79,-10.58,-10.54,47.54,6.52,-2.39,-2.34,-2.33,10.51,1.44,-440.37%,,66.5,98570-62P,Annalisa Jenkins,15-Oct,71.5,2015
0,Precigen,Healthcare,1998,20.01,,-119.22,-86.49,94.26,2.35,2013,-17.61,-16.16,-12.77,76.13,100.67,-1.85,1.7,1.34,8,10.58,-432.34%,,160,3.7249-21P,Randal Kirk,13-Aug,160,2013
0,ADMA Biologics,Healthcare,2004,3.17,1.05,-13.08,-12.88,-13.08,5.05,2013,-6.09,-6,-6,24.76,-14.68,-2.21,-2.18,-2.18,9,-5.34,-406.63%,,28.5,54396-73P,Adam Grossman,13-Oct,28.5,2013
0,Zymeworks,Healthcare,2003,10.98,,-47.02,-44.32,-45.83,4.53,2017,-7.31,-7.07,-6.89,29.52,-5.99,1.32,1.28,1.24,5.33,-1.08,-403.76%,135,58.5,3.8763-64P,Ali Tehrani,17-Apr,58.5,2017
0,Howard Hughes,Consumer Products and Services (B2C),2010,122.85,-54.2,-600.65,-487.08,-504.38,272.83,2010,-2.86,-2.76,-2.32,11.33,-1590.64,-1.46,-1.41,-1.18,5.77,-810.11,-396.49%,,708.84,7954498p,David Wenreb,10-Nov,708.84,2010
0,Regenxbio,Healthcare,2008,3.64,,-15.77,-14.18,-14.2,0,2015,-39.32,-39.28,-35.37,153.3,6.71,-9.77,-9.76,-8.79,38.1,1.67,-389.88%,,138.6,65844_01p,Kenneth Mills,15-Sep,138.6,2015
0,Proteon Therapeutics,Healthcare,2001,2.95,,-20.2,-11.39,-11.42,0,2014,-13.16,-13.13,-7.42,50.86,-41.41,-5.36,-5.35,-3.03,20.73,-16.87,-386.53%,,56.82,3.9695-14p,Timothy Noyes,14-Oct,61.1,2014
0,HTG Molecular Diagnostics,Healthcare,1997,3.53,0.07,-19.11,-13.58,-14.11,13.95,2015,-6.94,-6.68,-4.93,26.74,-20.93,-3.68,-3.54,-2.62,14.17,-11.09,-385.02%,,46.48,.36766-oop,Timothy Johnson,15-May,49.98,2015
0,Humanigen,Healthcare,2000,6.1,,-23.51,-23.06,-23.37,9.83,2012,-8.37,-8.26,-8.21,31.65,25.37,-3.03,-3,-2.98,11.48,9.2,-378.24%,,65.1,3.9037-96P,David Pritchard,13-Jan,70,2013
0,Ra Pharmaceuticals,Healthcare,2008,5.75,,-22.54,-21.28,-22.56,,2016,-13.13,-12.38,-12.39,48.59,27.63,-4.31,-4.06,-4.07,15.94,9.06,-370.12%,40,91.64,.22448-98P,Douglas Treco,16-Oct,91.64,2016
0,CytomX Therapeutics,Healthcare,2008,7.59,,-36.02,-26.97,-28.07,0,2015,-15.54,-14.93,-11.63,55.25,-2.45,-2.97,-2.85,-2.22,10.55,-4.67,-355.56%,,80,1.2787-03P,Sean McCarthy,15-Oct,80,2015
0,Selecta Biosciences,Healthcare,2007,7.07,,-35.05,-24.81,-25.84,11.84,2016,-10.1,-9.7,-7.15,35.47,38,-2.82,-2.71,-2,,10.62,-351.15%,,70,3.6588-52P,Werner Cautreels,16-Jun,70,2016
0,Marrone Bio Innovations,Materials and Resources,2006,10.86,2.88,-45.45,-36.54,-37.22,61.6,2013,-6,-5.89,-4.82,20.18,-32.95,-1.56,-1.53,1.25,5.25,-8.57,-336.37%,,57,3.722.2-17P,Pamela Marrone,13-Aug,57,2013
0,LogicMark,Healthcare,2006,0.25,0.2,-0.69,-0.79,-0.79,,2013,-28.11,-28.11,-31.91,88.06,143.25,-2.64,-2.64,-2.99,8.26,13.43,-313.26%,,2.08,4643.3-08P,Gino Pereira,13-Aug,2.08,2013
0,Intellia Therapeutics,Healthcare,2014,6.54,,-17.99,-18.42,-18.9,,2016,-33.11,-32.27,-33.9,93.34,13.34,-8.14,-7.94,-8.34,22.95,3.28,-281.88%,,150,.38048-77P,Nessan Bermingham,16-May,150,2016
0,Arcadia Biosciences,Materials and Resources,2002,6.42,4.46,-26.3,-17.92,-18.25,12.95,2015,-19.28,-18.92,-13.14,53.8,32.09,-3.66,-3.59,-2.49,10.22,6.09,-279.10%,,61.01,.36889-57P,Eric Rey,15-May,65.6,2015
0,GlycoMimetics,Healthcare,2003,3.99,,-10.61,-10.47,-10.61,,2013,-13.41,-13.24,-13.24,35.18,-9.32,-5.35,-5.28,-5.28,14.03,-3.72,-262.32%,,52.08,.36056-26P,Rachel King,14-Jan,56,2014
0,Receptos,Healthcare,2007,8.81,,-23.46,-20.85,-21.41,0,2013,-11.82,-11.51,-10.51,27.98,-121.41,-3.49,-3.4,-3.1,8.26,-35.86,-236.69%,35,68.29,3.8921-59P,Faheem Hasnaln,13-May,72.8,2013
0,Veritone,Information Technology,2014,9.94,8.49,-32.35,-22.44,-22.61,15.32,2017,-9.28,-9.21,-6.44,20.94,48.85,-1.67,-1.66,-1.16,3.77,8.8,-225.65%,41,37.5,41198-50P,Chad Steelberg,17-May,37.5,2017
0,FUJIFILM Cellular Dynamics,Healthcare,2004,9.38,6.6,-22.03,-20.64,-22,11.75,2013,-9.15,-8.58,-8.57,20.13,26.22,-2.24,-2.1,-2.09,4.92,6.41,-220.12%,,42.92,3.5498-53P,Robert Palay,13-Jul,46.15,2013
0,Merrimack Pharmaceuticals,Healthcare,1993,34.22,,-87.01,-75.12,-79.72,0.05,2011,-8.61,-8.11,-7.43,18.9,32.76,-1.33,1.26,-1.15,2.93,5.07,-219.56%,,95.65,38669-68P,William Sullivan,12-Mar,100.1,2012
0,Adaptimmune Therapeutics,Healthcare,2008,9.87,,-36.79,-21.58,-22.32,0,2015,-55.75,-53.92,-32.71,121.91,6.46,-8.86,-8.57,-5.2,19.37,1.03,-218.65%,,191.25,59700-61P,lames Noble,15-May,191.25,2015
0,Avinger,Healthcare,2007,11.21,4.7,-31.96,-2.45,-25.94,28.71,2014,-5.43,-5.13,-4.16,11.86,1399.87,-2.65,-2.51,-2.03,5.8,684.21,-218.36%,,65,16473.-70P,Jeffrey Soinski,15-Jan,65,2015
0,Voyager Therapeutics,Healthcare,2013,12.4,,-34.67,-26.71,-27.25,0,2015,-13.48,-13.21,-10.39,29.05,5.98,-2.62,-2.57,-2.02,5.65,1.16,-215.44%,,67.7,3.56.22-03P,Steve Paul,15-Nov,70,2015
1,Kosmos Energy,Energy,2003,95.57,95.54,-313.53,-204.64,-262.56,1300,2011,-32.91,-25.65,-21.48,70.47,115.18,-2.9,-2.26,-1.89,6.22,10.16,-214.12%,130,594,12699-01 P,Brian Maxted,11-May,594,2011
0,GenMark Diagnostics,Energy,2005,16.4,2.95,-42.89,-34.55,-37.74,20.43,2010,-10.7,-9.79,-8.62,22.54,-61.95,-3.1,-2.84,-2.5,6.54,-17.98,-210.72%,57,107.25,3.1866-67P,Patrick Gruber,11-Feb,107.25,2011
0,FivePrime Therapeutics,Healthcare,2001,12.31,,-26.99,-25.38,-27.06,0,2013,-8.2,-7.69,-7.71,16.91,-36.07,-2.46,-2.31,-2.31,5.07,-10.81,-206.16%,,62.4,.38488-78P,Lewis Williams,13-Sep,62.4,2013
0,Tandem Diabetes Care,Healthcare,2006,21.02,4.53,-48.08,-41.23,-44.43,29.35,2013,-7.78,-7.22,-6.67,15.26,40.52,-2.91,-2.7,-2.5,5.71,15.16,-196.14%,,120,3.5649-19P,Kim Bhckenstaff,13-Nov,120,2013
0,TriVascular,Healthcare,1998,23.6,10.22,-53.45,-46.04,-46.8,47.7,2014,-5.04,-4.96,-4.34,9.83,-88.23,-1.69,-1.67,-1.46,3.31,-29.67,-195.09%,,72.54,41585-77P,Christopher Chavez,14-Apr,78,2014
0,AVEO Oncology,Healthcare,2001,20.72,,-44.09,-40.24,-41.53,19.75,2009,-6.63,-6.42,-6.05,12.88,10.9,-2.01,-1.95,-1.84,,3.31,-194.20%,133,81,3.5536-33P,Tuan Ha-Ngoc,10-Mar,81,2010
0,Aeglea BioTherapeutics,Healthcare,2013,6.94,,-13.37,-13.32,-13.42,0,2016,-9.71,-9.63,-9.67,18.62,-6.54,-3.75,-3.73,-3.74,7.2,-2.53,-191.82%,,50,13979-17P,David Lowe,16-Apr,50,2016
0,OncoMed Pharmaceuticals,Healthcare,2004,20.54,,-26.19,-39.01,-40.41,0.33,2013,-11.79,-11.38,-17.57,22.4,137.43,-2.09,-2.02,-3.12,3.97,24.37,-189.95%,,81.6,41377-69P,Paul Hastings,13-Jul,81.6,2013
0,Diamond Resorts,Consumer Products and Services (B2C),1996,228.18,-92.72,-3.16,-428.38,-451.39,843.13,2013,-2.4,-2.27,-324.31,4.5,832.21,-0.51,-0.48,-68.58,0.95,175.99,-187.74%,,196,1107.34-.22P,David Palmer,13-Jul,217,2013
0,Focus Universal,Information Technology,2012,0.02,,-0.04,-0.04,-0.04,,2015,-10.11,-10.11,-10.11,18.81,71.37,-8.92,-8.92,-8.92,16.59,62.97,-186.03%,,0.37,90878-50P,Tatyana Popova,14-Jul,0.38,2014
0,OpGen,Healthcare,2001,3.5,2.52,-7.75,-6.35,-6.87,3.79,2015,-10.11,-9.35,-8.28,18.34,-78.21,-2.69,-2.49,-2.2,4.88,-20.8,-181.32%,,15.75,4046.2-75P,Evan Jones,15-May,17.07,2015
0,Tetraphase Pharmaceuticals,Healthcare,2006,7.6,,-15.09,-13.71,-14.07,11.52,2012,-10.14,-9.89,-9.22,18.3,-10.4,-5.47,-5.33,-4.97,9.87,-5.61,-180.43%,33,69.75,36659-26P,Guy Macdonald,13-Mar,75,2013
0,Ideal Power,Business Products and Services (B2B),2007,2.15,-0.2,-8.35,-3.85,-3.88,5.88,2013,-8.05,-7.98,-3.71,14.4,152.81,-3.89,-3.86,1.8,6.96,73.94,-178.87%,10,13.73,54184-96P,Christopher Cobb,13-Nov,15,2013
0,TRACON Pharmaceuticals,Healthcare,2004,3.6,,-7.11,-6.13,-6.14,8.93,2014,-19.74,-19.69,-17.02,33.61,3.7,-5.88,-5.86,-5.07,10.01,1.1,-170.29%,,36,.36901-72P,Charles Theuer,15-Jan,36,2015
0,PBF Logistics,Energy,2012,8.51,,-17.65,-14.07,-17.65,,2014,-51.95,-41.41,-41.41,85.84,14329.05,-22.48,-17.92,-17.92,37.15,6200.98,-165.23%,,316.25,36906-85P,Thomas Nimbley,14-May,316.25,2014
0,Ironwood Pharmaceuticals,Healthcare,1998,34.32,,-71.18,-55.45,-60.22,2.02,2009,-19.26,-17.73,-15,31.11,19.08,-3.38,-3.11,-2.63,5.46,3.35,-161.57%,,187.5,3.3161-14p,Peter Hecht,10-Feb,187.5,2010
0,Invuity,Healthcare,2004,15.39,9.7,-24.98,-22.82,-23.49,14.38,2015,-6.68,-6.49,-6.1,9.9,12.81,-2.1,-2.04,-1.92,3.12,4.03,-148.27%,,48,41737-96P,Philip Sawyer,15-Jun,48,2015
1,R1 RCM,Materials and Resources,,5.22,0.82,-7.51,-7.28,-7.53,11.13,2016,-72.46,-70.03,-70.17,101.1,125.47,-11.13,-10.76,-10.78,15.53,19.27,-139.53%,27,,142048-36P,Randall Atkins,17-Feb,81,2017
0,Ambit Biosciences,Healthcare,2000,18.99,,-26.97,-25.21,-25.9,3.08,2013,-5.62,-5.47,-5.25,7.46,-122.16,-2.58,-2.51,-2.41,3.42,-56.03,-132.76%,,65,3.9359-80P,Michael Martino,13-May,65,2013
0,Pacira BioSciences,Healthcare,2006,14.56,2.29,-27.15,-19.26,-23.34,25.05,2010,-6.26,-5.17,-4.44,8.28,6.33,-2.18,-1.8,-1.55,2.88,2.2,-132.30%,,42,1.3621-15P,David Stack,11-Feb,42,2011
0,Foundation Medicine,Healthcare,2010,19.34,10.89,-28.66,-24.39,-28.1,2.35,2013,-20.05,-17.41,-17.07,25.29,17.26,-4.35,-3.77,-3.7,5.48,3.74,-126.15%,118,98.58,.29994-94p,Michael Pellini,13-Sep,106,2013
0,Snap Group,Information Technology,2011,404.48,-47.18,-514.64,-495.84,-524.95,15.14,2016,-39.68,-37.48,-38.23,48.64,-40.68,-6.86,-6.48,-6.61,8.41,-7.03,-122.59%,1859,2465,4487.2-12P,Evan Spiegel,17-Mar,3400,2017
0,Veracyte,Healthcare,2008,19.5,7.77,-24.52,-23.5,-24.39,4.86,2013,-11.61,-11.19,-11.13,13.99,22.77,-2.77,-2.66,-2.65,3.33,5.42,-120.48%,99,65,3.5536-24P,Bonnie Anderson,13-Oct,65,2013
0,MyoKardia,Healthcare,2012,14.2,,-23.05,-16.46,-17.41,0,2015,-15.94,-15.08,-11.38,18.48,17.93,-3.3,-3.12,-2.36,3.83,3.71,-115.94%,,54.38,55708-57P,Tassos Gianakakos,15-Oct,54.38,2015
0,Kimbell Royalty Partners,Energy,2013,3.61,1.72,,-4.16,-5.77,10.6,2016,-81.2,-58.61,,93.74,2680.27,-24.86,-17.94,,28.7,820.52,-115.45%,,103.5,163070-65P,Robert Ravnaas,17-Feb,103.5,2017
0,Aduro Biotech,Healthcare,2008,22.94,,-25.85,-24.51,-24.8,10.33,2015,-40.89,-40.41,-38.77,43.69,7.75,-4.86,-4.8,-460,5.19,0.92,-106.85%,,110.67,.36979-57P,Stephen Isaacs,15-Apr,119,2015
0,Kythera Biopharmaceuticals,Healthcare,2004,22.57,20.37,-24.39,-23.85,-24.31,0,2012,-11.65,-11.43,-11.39,12.31,-9.73,-2.95,-2.9,-2.89,3.12,-2.47,-105.67%,,70.4,38729-17P,Keith Leonard,12-Oct,70.4,2012
0,Agios,Healthcare,2008,25.09,,-40.19,-25.81,-27.18,0,2013,-21.01,-19.95,-13.49,21.62,-29.09,4.11,-3.9,-2.64,4.23,-5.69,-102.90%,84,106,3.8648-53P,David Schenkein,13-Jul,106,2013
0,PTC Therapeutics,Healthcare,1998,24.1,,-36.12,-24.74,-27.37,3.84,2013,-14.35,-12.97,-9.83,14.74,8.69,-5.07,-4.59,-3.48,5.21,3.07,-102.69%,,116.79,4.2351-40P,Stuart Peltz,13-Jun,125.58,2013
0,Alcentra Capital BDC,Financial Services,2004,18.98,,-20.33,-19.48,-20.36,0,2014,-15.35,-14.69,-14.71,15.76,-9.99,-4.11,-3.93,-3.94,4.22,-2.67,-102.63%,,80,,,14-May,80,2014
0,Cornerstone OnDemand,Information Technology,1999,43.73,29.45,-56.6,-44.49,-47.12,11.61,2010,-13.63,-12.87,-10.71,13.86,-609.93,-3.07,-2.9,-2.41,3.12,-137.32,-101.73%,32,97.5,36768-70P,Adam Miller,11-Mar,136.5,2011
